api_key,app_name,app_store_url,app_details,app_submission_created_at,integrations,integration_count,scrape_success,cluster
7642,Mailchimp,https://apps.shopify.com/mailchimp,Email marketing platform for Shopify stores,2025-03-30 15:57:05+00,,0,True,0
45302,AMP - Back in Stock,https://apps.shopify.com/amp-back-in-stock,Back in stock notifications to help increase sales with real-time inventory alerts,2025-03-29 15:59:23+00,,0,True,0
52962,Plug In SEO,https://apps.shopify.com/plug-in-seo,SEO optimization tool for Shopify stores with automated recommendations,2025-03-28 11:34:47+00,,0,True,0
70132,Yotpo - Product Reviews App,https://apps.shopify.com/yotpo,Product reviews and user-generated content platform for social proof,2025-03-28 07:53:07+00,,0,True,0
81222,ShipStation,https://apps.shopify.com/shipstation,Shipping and order management solution for e-commerce businesses,2025-03-28 07:31:59+00,,0,True,0
111542,AfterShip Order Tracking,https://apps.shopify.com/aftership,Order tracking and shipping management with real-time updates,2025-03-06 16:27:09+00,,0,True,0
116649,Zapier: Workflow Automation,https://apps.shopify.com/zapier,Connect your store with 3000+ apps through automated workflows,2025-03-09 13:13:37+00,,0,True,0
123074,Klaviyo: Email Marketing & SMS,https://apps.shopify.com/klaviyo,Email marketing and SMS automation platform for personalized messaging,2025-03-29 06:17:25+00,,0,True,0
129432,Billbee,https://apps.shopify.com/billbee,Order and shipping management for European merchants,2025-03-11 09:55:24+00,,0,True,0
129687,Minmaxify Order Limits,https://apps.shopify.com/minmaxify-order-limits,Set minimum and maximum order quantities for products,2025-03-28 12:03:51+00,,0,True,0
141238,Locksmith,https://apps.shopify.com/locksmith,Customer access control and content protection,2025-03-15 09:22:31+00,,0,True,0
144960,Zendesk,https://apps.shopify.com/zendesk,Customer support and help desk solution,2025-03-24 03:49:04+00,,0,True,0
156624,Printful: Print on Demand,https://apps.shopify.com/printful,Print-on-demand fulfillment and dropshipping service,2025-03-13 11:09:51+00,,0,True,0
157661,TaxJar Sales Tax Automation,https://apps.shopify.com/taxjar,Automated sales tax calculations and filing,2025-03-19 14:33:02+00,,0,True,0
169941,Shippo - Simplified Shipping,https://apps.shopify.com/shippo,Multi-carrier shipping solution with discounted rates,2025-03-18 13:54:33+00,,0,True,0
186001,Omnisend Email Marketing & SMS,https://apps.shopify.com/omnisend,Omnichannel marketing automation platform,2025-03-26 14:47:10+00,,0,True,0
187969,Lucky Orange Heatmaps & Replay,https://apps.shopify.com/lucky-orange,Website analytics and visitor recordings,2025-03-31 09:03:47+00,,0,True,0
191373,Order Printer Templates,https://apps.shopify.com/order-printer-templates,Customizable order documents and invoices,2025-03-19 15:39:13+00,,0,True,0
