api_key,app_name,app_store_url,integrations,integration_count,scrape_success,scrape_error,processed_at
7642,Mailchimp,https://apps.shopify.com/mailchimp,,0,False,No valid URL found,2025-04-09 21:58:13+00:00
45302,AMP - Back in Stock,https://apps.shopify.com/amp-back-in-stock,,0,False,No valid URL found,2025-04-09 21:58:19+00:00
52962,Plug In SEO,https://apps.shopify.com/plug-in-seo,,0,False,No valid URL found,2025-04-09 21:58:27+00:00
70132,Yotpo - Product Reviews App,https://apps.shopify.com/yotpo,,0,False,No valid URL found,2025-04-09 21:58:42+00:00
81222,ShipStation,https://apps.shopify.com/shipstation,,0,False,No valid URL found,2025-04-09 21:58:48+00:00
111542,AfterShip Order Tracking,https://apps.shopify.com/aftership,,0,False,No valid URL found,2025-04-09 21:58:58+00:00
116649,Zapier: Workflow Automation,https://apps.shopify.com/zapier,,0,False,No valid URL found,2025-04-09 21:59:08+00:00
123074,Klaviyo: Email Marketing & SMS,https://apps.shopify.com/klaviyo,,0,False,No valid URL found,2025-04-09 21:59:19+00:00
129432,Billbee,https://apps.shopify.com/billbee,,0,False,No valid URL found,2025-04-09 21:59:26+00:00
129687,Minmaxify Order Limits,https://apps.shopify.com/minmaxify-order-limits,,0,False,No valid URL found,2025-04-09 21:59:32+00:00
141238,Locksmith,https://apps.shopify.com/locksmith,,0,False,No valid URL found,2025-04-09 21:59:37+00:00
144960,Zendesk,https://apps.shopify.com/zendesk,,0,False,No valid URL found,2025-04-09 21:59:44+00:00
156624,Printful: Print on Demand,https://apps.shopify.com/printful,,0,False,No valid URL found,2025-04-09 21:59:55+00:00
157661,TaxJar Sales Tax Automation,https://apps.shopify.com/taxjar,,0,False,No valid URL found,2025-04-09 22:00:09+00:00
169941,Shippo - Simplified Shipping,https://apps.shopify.com/shippo,,0,False,No valid URL found,2025-04-09 22:00:21+00:00
186001,Omnisend Email Marketing & SMS,https://apps.shopify.com/omnisend,,0,False,No valid URL found,2025-04-09 22:00:35+00:00
187969,Lucky Orange Heatmaps & Replay,https://apps.shopify.com/lucky-orange,,0,False,No valid URL found,2025-04-09 22:00:47+00:00
191373,Order Printer Templates,https://apps.shopify.com/order-printer-templates,,0,False,No valid URL found,2025-04-09 22:00:55+00:00
209977,QuickBooks Online Global,https://apps.shopify.com/quickbooks-online-global,,0,False,No valid URL found,2025-04-09 22:01:01+00:00
216529,POWR Form Builder Contact Form,https://apps.shopify.com/powr-form-builder,,0,False,No valid URL found,2025-04-09 22:01:13+00:00
219241,Tidio Live Chat & AI Chatbots,https://apps.shopify.com/tidio,,0,False,No valid URL found,2025-04-09 22:01:23+00:00
219313,Smile: Loyalty Rewards Program,https://apps.shopify.com/smile-io,,0,False,No valid URL found,2025-04-09 22:01:35+00:00
280025,Order Printer Pro: Invoice App,https://apps.shopify.com/order-printer-pro,,0,False,No valid URL found,2025-04-09 22:01:47+00:00
294517,Recharge Subscriptions,https://apps.shopify.com/recharge,,0,False,No valid URL found,2025-04-09 22:01:56+00:00
437349,Cart2Cart Store Migration App,https://apps.shopify.com/cart2cart,,0,False,No valid URL found,2025-04-09 22:02:09+00:00
481135,TrustedSite - Trust Badges,https://apps.shopify.com/trustedsite,,0,False,No valid URL found,2025-04-09 22:02:23+00:00
524345,Printify: Print on Demand,https://apps.shopify.com/printify,,0,False,No valid URL found,2025-04-09 22:02:37+00:00
683015,Judge.me Product Reviews App,https://apps.shopify.com/judgeme,,0,False,No valid URL found,2025-04-09 22:02:49+00:00
740217,Yotpo Email Marketing & SMS,https://apps.shopify.com/yotpo-email-marketing,,0,False,No valid URL found,2025-04-09 22:03:03+00:00
808246,Sendcloud,https://apps.shopify.com/sendcloud,,0,False,No valid URL found,2025-04-09 22:03:11+00:00
833174,Mailchimp Forms: Capture Leads,https://apps.shopify.com/mailchimp-forms,,0,False,No valid URL found,2025-04-09 22:03:20+00:00
847334,Rewind Backups,https://apps.shopify.com/rewind,,0,False,No valid URL found,2025-04-09 22:03:35+00:00
860146,Sherpas: Smart SEO,https://apps.shopify.com/sherpas,,0,False,No valid URL found,2025-04-09 22:03:48+00:00
861484,Privy - Pop Ups Email & SMS,https://apps.shopify.com/privy,,0,False,No valid URL found,2025-04-09 22:03:57+00:00
879490,Infinite Product Options,https://apps.shopify.com/infinite-options,,0,False,No valid URL found,2025-04-09 22:04:10+00:00
890832,Modalyst: Dropshipping,https://apps.shopify.com/modalyst,,0,False,No valid URL found,2025-04-09 22:04:22+00:00
891524,Flexify: Facebook Product Feed,https://apps.shopify.com/flexify,,0,False,No valid URL found,2025-04-09 22:04:36+00:00
1017512,Crush: Speed & Image Optimizer,https://apps.shopify.com/crush,,0,False,No valid URL found,2025-04-09 22:04:49+00:00
1051308,Loox - Product Reviews App,https://apps.shopify.com/loox,,0,False,No valid URL found,2025-04-09 22:05:00+00:00
1135376,Hextom: Free Shipping Bar,https://apps.shopify.com/hextom-free-shipping-bar,,0,False,No valid URL found,2025-04-09 22:05:09+00:00
1151408,Hextom: Bulk Product Edit,https://apps.shopify.com/hextom-bulk-edit,,0,False,No valid URL found,2025-04-09 22:05:22+00:00
1158168,Shogun - Landing Page Builder,https://apps.shopify.com/shogun,,0,False,No valid URL found,2025-04-09 22:05:33+00:00
1173834,Hextom: Quick Announcement Bar,https://apps.shopify.com/hextom-announcement-bar,,0,False,No valid URL found,2025-04-09 22:05:45+00:00
1173856,Hextom: Countdown Timer Bar,https://apps.shopify.com/hextom-countdown-timer,,0,False,No valid URL found,2025-04-09 22:05:58+00:00
1178253,Stamped Product Reviews & UGC,https://apps.shopify.com/stamped,,0,False,No valid URL found,2025-04-09 22:06:11+00:00
1183497,Variant Option Product Options,https://apps.shopify.com/variant-options,,0,False,No valid URL found,2025-04-09 22:06:23+00:00
1221538,Afterpay On-Site Messaging,https://apps.shopify.com/afterpay-messaging,,0,False,No valid URL found,2025-04-09 22:06:34+00:00
1223734,Orderly Emails - Templates App,https://apps.shopify.com/orderly-emails,,0,False,No valid URL found,2025-04-09 22:06:45+00:00
1229564,Hextom: Bulk Image Edit & SEO,https://apps.shopify.com/hextom-bulk-image,,0,False,No valid URL found,2025-04-09 22:06:57+00:00
1240744,BEAST Currency Converter,https://apps.shopify.com/beast-currency,,0,False,No valid URL found,2025-04-09 22:07:07+00:00
1286294,BOOSTER SEO IMAGE OPTIMIZER,https://apps.shopify.com/booster-seo,,0,False,No valid URL found,2025-04-09 22:07:20+00:00
1308986,Make,https://apps.shopify.com/make,,0,False,No valid URL found,2025-04-09 22:07:28+00:00
